Designator,Mid X,Mid Y,Layer,Rotation
LED15,355.6mm,26.9875mm,T,0
LED16,374.65mm,46.0375mm,T,0
LED17,355.6mm,46.0375mm,T,0
LED18,336.55mm,46.0375mm,T,0
LED19,336.55mm,7.3025mm,T,0
LED20,298.45mm,7.3025mm,T,0
LED21,317.5mm,7.3025mm,T,0
LED22,307.975mm,26.9875mm,T,0
LED23,298.45mm,46.0375mm,T,0
LED24,288.925mm,26.9875mm,T,0
LED25,279.4mm,7.3025mm,T,0
LED26,279.4mm,46.0375mm,T,0
LED27,260.35mm,7.3025mm,T,0
LED28,250.825mm,26.9875mm,T,0
LED29,241.3mm,46.0375mm,T,0
LED30,231.775mm,26.9875mm,T,0
LED31,241.3mm,7.3025mm,T,0
LED32,222.25mm,7.3025mm,T,0
LED33,212.725mm,26.9875mm,T,0
LED34,222.25mm,46.0375mm,T,0
LED35,203.2mm,46.0375mm,T,0
LED36,203.2mm,7.3025mm,T,0
LED37,174.625mm,26.9875mm,T,0
LED38,184.15mm,7.3025mm,T,0
LED39,165.1mm,7.3025mm,T,0
LED40,165.1mm,46.0375mm,T,0
LED41,155.575mm,26.9875mm,T,0
LED42,146.05mm,7.3025mm,T,0
LED43,127mm,7.3025mm,T,0
LED44,117.475mm,26.9875mm,T,0
LED45,127mm,46.0375mm,T,0
LED46,107.95mm,46.0375mm,T,0
LED47,98.425mm,26.9875mm,T,0
LED48,107.95mm,7.3025mm,T,0
LED49,88.9mm,7.3025mm,T,0
LED50,69.85mm,7.3025mm,T,0
LED51,79.375mm,26.9875mm,T,0
LED52,88.9mm,46.0375mm,T,0
LED53,50.8mm,7.3025mm,T,0
LED54,41.275mm,26.9875mm,T,0
LED55,31.75mm,7.3025mm,T,0
LED56,22.225mm,26.9875mm,T,0
LED57,12.7mm,7.3025mm,T,0
U1,75.565mm,54.61mm,T,0
JP1,60.325mm,60.325mm,T,270
ISP1,61.976mm,44.577mm,B,90
U$60,75.565mm,45.085mm,T,180
U$61,72.39mm,66.04mm,T,0
