type;x;y
pipe;151.39338684082;156.117004394531
pipe;145.818801879883;156.117004394531
pipe;131.972717285156;129.436401367188
pipe;161.483734130859;131.98420715332
pipe;161.306106567383;144.918594360352
pipe;143.829177856445;142.773101806641
pipe;153.383010864258;142.773101806641
pipe;145.228164672852;147.09049987793
pipe;167.646102905273;71.9235992431641
pipe;169.363388061523;127.541397094727
pipe;175.24609375;85.823600769043
pipe;145.8974609375;151.579299926758
pipe;148.646102905273;66.823600769043
pipe;154.391189575195;87.8591995239258
pipe;151.314743041992;151.579299926758
pipe;135.906097412109;144.918594360352
pipe;141.738662719727;138.74479675293
pipe;135.728469848633;131.98420715332
pipe;139.013656616211;135.115493774414
pipe;148.606094360352;85.7536010742188
pipe;158.198547363281;135.115493774414
pipe;155.473526000977;138.74479675293
pipe;142.821014404297;87.8591995239258
pipe;121.946098327637;85.823600769043
pipe;127.848823547363;127.541397094727
pipe;139.742828369141;93.1907577514648
pipe;165.239486694336;129.436401367188
pipe;151.984039306641;147.09049987793
pipe;157.469375610352;93.1907577514648
pipe;129.546096801758;71.9235992431641
pin;125.525001525879;86.1500015258789
pin;152;145
pin;168.850006103516;68.6750030517578
pin;145.228164672852;145
pin;145.225006103516;85.5500030517578
pin;134.774993896484;142.725006103516
pin;164.399993896484;143.899993896484
pin;171.625;79.375
pin;167;125
pin;135.125;71.375
pin;149.149993896484;63.375
pin;129;125
