Designator,Mid X,Mid Y,Layer,Rotation
SW14,120.65mm,-47.625mm,T,0
SW15,158.75mm,-47.625mm,T,0
SW16,139.7mm,-47.625mm,T,0
SW17,158.75mm,-28.575mm,T,0
SW18,139.7mm,-28.575mm,T,0
SW19,101.6mm,-66.675mm,T,0
SW20,120.65mm,-66.675mm,T,0
SW39,139.7mm,-66.675mm,T,0
SW40,158.75mm,-66.675mm,T,0
SW41,101.6mm,-85.725mm,T,0
SW42,120.65mm,-85.725mm,T,0
SW43,139.7mm,-85.725mm,T,0
SW44,158.75mm,-85.725mm,T,0
SW45,101.6mm,-104.775mm,T,0
SW50,120.65mm,-104.775mm,T,0
SW57,101.6mm,-123.825mm,T,0
SW61,120.65mm,-123.825mm,T,0
SW62,158.75mm,-123.825mm,T,0
SW63,139.7mm,-123.825mm,T,0
SW64,158.75mm,-104.775mm,T,0
SW65,139.7mm,-104.775mm,T,0
SW66,101.6mm,-142.875mm,T,0
SW67,120.65mm,-142.875mm,T,0
SW68,139.7mm,-142.875mm,T,0
SW69,158.75mm,-142.875mm,T,0
SW70,184.15mm,15.875mm,T,0
SW74,184.15mm,-9.525mm,T,0
SW78,184.15mm,-28.575mm,T,0
SW80,184.15mm,-47.625mm,T,0
SW87,184.15mm,-66.675mm,T,0
SW93,184.15mm,-85.725mm,T,0
SW97,184.15mm,-104.775mm,T,0
SW99,184.15mm,-123.825mm,T,0
SW105,184.15mm,-142.875mm,T,0
SW71,25.4mm,41.275mm,T,0
SW72,44.45mm,41.275mm,T,0
SW73,63.5mm,41.275mm,T,0
SW75,82.55mm,41.275mm,T,0
SW76,101.6mm,41.275mm,T,0
SW77,120.65mm,41.275mm,T,0
SW79,139.7mm,41.275mm,T,0
SW81,158.75mm,41.275mm,T,0
SW82,184.15mm,41.275mm,T,0
LED13,25.4mm,11.1125mm,T,180
LED14,44.45mm,11.1125mm,T,180
LED15,63.5mm,11.1125mm,T,180
LED16,82.55mm,11.1125mm,T,180
LED17,101.6mm,11.1125mm,T,180
LED18,120.65mm,11.1125mm,T,180
LED19,139.7mm,11.1125mm,T,180
LED20,158.75mm,11.1125mm,T,180
LED21,184.15mm,11.1125mm,T,180
LED22,184.15mm,-14.2875mm,T,0
LED23,158.75mm,-14.2875mm,T,0
LED24,139.7mm,-14.2875mm,T,0
LED25,120.65mm,-14.2875mm,T,0
LED26,101.6mm,-14.2875mm,T,0
LED27,82.55mm,-14.2875mm,T,0
LED28,63.5mm,-14.2875mm,T,0
LED1,44.45mm,-14.2875mm,T,0
LED2,25.4mm,-14.2875mm,T,0
LED3,25.4mm,-33.3375mm,T,180
LED4,44.45mm,-33.3375mm,T,180
LED5,63.5mm,-33.3375mm,T,180
LED6,82.55mm,-33.3375mm,T,180
LED7,101.6mm,-33.3375mm,T,180
LED8,120.65mm,-33.3375mm,T,180
LED9,139.7mm,-33.3375mm,T,180
LED10,158.75mm,-33.3375mm,T,180
LED11,184.15mm,-33.3375mm,T,180
LED12,184.15mm,-52.3875mm,T,0
LED29,158.75mm,-52.3875mm,T,0
LED30,139.7mm,-52.3875mm,T,0
LED31,120.65mm,-52.3875mm,T,0
LED32,101.6mm,-52.3875mm,T,0
LED33,82.55mm,-52.3875mm,T,0
LED34,63.5mm,-52.3875mm,T,0
LED35,44.45mm,-52.3875mm,T,0
LED36,25.4mm,-52.3875mm,T,0
LED37,25.4mm,-71.4375mm,T,180
LED38,44.45mm,-71.4375mm,T,180
LED39,63.5mm,-71.4375mm,T,180
LED40,82.55mm,-71.4375mm,T,180
LED41,101.6mm,-71.4375mm,T,180
LED42,120.65mm,-71.4375mm,T,180
LED43,139.7mm,-71.4375mm,T,180
LED44,158.75mm,-71.4375mm,T,180
LED45,184.15mm,-71.4375mm,T,180
LED46,184.15mm,-90.4875mm,T,0
LED47,158.75mm,-90.4875mm,T,0
LED48,139.7mm,-90.4875mm,T,0
LED49,120.65mm,-90.4875mm,T,0
LED50,101.6mm,-90.4875mm,T,0
LED51,82.55mm,-90.4875mm,T,0
LED52,63.5mm,-90.4875mm,T,0
LED53,44.45mm,-90.4875mm,T,0
LED54,25.4mm,-90.4875mm,T,0
LED55,25.4mm,-109.5375mm,T,180
LED56,44.45mm,-109.5375mm,T,180
LED57,63.5mm,-109.5375mm,T,180
LED58,82.55mm,-109.5375mm,T,180
LED59,101.6mm,-109.5375mm,T,180
LED60,120.65mm,-109.5375mm,T,180
LED61,139.7mm,-109.5375mm,T,180
LED62,158.75mm,-109.5375mm,T,180
LED63,184.15mm,-109.5375mm,T,180
LED64,184.15mm,-128.5875mm,T,0
LED65,158.75mm,-128.5875mm,T,0
LED66,139.7mm,-128.5875mm,T,0
LED67,120.65mm,-128.5875mm,T,0
LED68,101.6mm,-128.5875mm,T,0
LED69,82.55mm,-128.5875mm,T,0
LED70,63.5mm,-128.5875mm,T,0
LED71,44.45mm,-128.5875mm,T,0
LED72,25.4mm,-128.5875mm,T,0
LED73,25.4mm,-147.6375mm,T,180
LED74,44.45mm,-147.6375mm,T,180
LED75,63.5mm,-147.6375mm,T,180
LED76,82.55mm,-147.6375mm,T,180
LED77,101.6mm,-147.6375mm,T,180
LED78,120.65mm,-147.6375mm,T,180
LED79,139.7mm,-147.6375mm,T,180
LED80,158.75mm,-147.6375mm,T,180
LED81,184.15mm,-147.6375mm,T,180
LED82,171.45mm,-142.875mm,T,270
LED83,171.45mm,-123.825mm,T,270
LED84,171.45mm,-104.775mm,T,270
LED85,171.45mm,-85.725mm,T,270
LED86,171.45mm,-66.675mm,T,270
LED87,171.45mm,-47.625mm,T,270
LED88,171.45mm,-28.575mm,T,270
LED89,171.45mm,-9.525mm,T,270
LED90,184.15mm,3.175mm,T,180
LED91,184.15mm,36.5125mm,T,0
LED92,158.75mm,36.5125mm,T,0
LED93,139.7mm,36.5125mm,T,0
LED94,120.65mm,36.5125mm,T,0
LED95,101.6mm,36.5125mm,T,0
LED96,82.55mm,36.5125mm,T,0
LED97,63.5mm,36.5125mm,T,0
LED98,44.45mm,36.5125mm,T,0
LED99,25.4mm,36.5125mm,T,0
U1,173.2915mm,28.321mm,T,90
R7,169.291mm,22.2885mm,T,180
R8,169.291mm,21.0185mm,T,180
R9,168.529mm,14.9225mm,T,180
R10,180.1495mm,27.813mm,T,270
C13,167.1955mm,26.543mm,T,180
C1,179.1335mm,32.258mm,T,90
C2,179.832mm,25.0825mm,T,180
C3,167.3225mm,30.607mm,T,0
C4,167.1955mm,25.019mm,T,0
C14,169.291mm,19.7485mm,T,180
C15,182.6895mm,31.0515mm,T,0
C16,185.928mm,26.8605mm,T,0
ISP1,171.196mm,10.795mm,B,90
U$60,182.6895mm,28.067mm,T,270
JP2,189.992mm,25.908mm,T,90
J1,171.45mm,49.403mm,T,180
